Aff,Neg,Judge,Win,"Aff								Points & Ranks","Neg								Points & Ranks"
McNeil KJ,Strake Jesuit  JW,Tajaih Robinson,Neg,"29.1																																																														2","29.4																																																														1"
Westwood AG,Strake Jesuit  VM,Joshua Smith,Neg,"28.0																																																														2","28.5																																																														1"
Strake Jesuit  NW,Cypress Woods AZ,Armaan Christ,Aff,"28.6																																																														1","27.9																																																														2"
Northland Christian JM,McNeil YM,Rodrigo Paramo,Neg,"28.6																																																														2","28.9																																																														1"
Cy-Fair SB,Memorial DX,Becca Traber,Neg,"28.4																																																														2","28.5																																																														1"
Strake Jesuit  VJ,Little Rock Central MG,Tajaih Robinson,Neg,"28.9																																																														2","29.3																																																														1"
Garland AG,Seven Lakes SK,Leigh Walters,Neg,"26.0																																																														2","28.7																																																														1"
Westlake AK,Flower Mound ST,Brett Cryan,Aff,"29.5																																																														1","29.0																																																														2"
Strake Jesuit  DA,Newman Smith KM,Angela Zhong,Aff,"28.5																																																														1","27.5																																																														2"
Carnegie Vanguard LH,Plano East VR,Drew Marshall,Aff,"28.0																																																														1","27.5																																																														2"
Colleyville Heritage CS,Dripping Springs CD,Aiden Moguel,Neg,"28.0																																																														2","29.0																																																														1"
Southlake Carroll EP,Heights CT,Joseph Kieklak,Aff,"29.3																																																														1","28.2																																																														2"
Cy-Fair DS,BASIS Peoria PY,Austin Broussard,Neg,"28.5																																																														2","30.0																																																														1"
Westlake AC,Lake Highland Prep NP,Michael Kurian,Aff,"29.0																																																														1","28.0																																																														2"
Garland NG,Christopher Columbus AM,Dominic Henderson,Neg,"27.5																																																														2","28.2																																																														1"
McNeil AG,Westlake DB,Elmer Yang,Aff,"29.0																																																														1","28.8																																																														2"
Lake Highland Prep HL,Memorial DM,Phoenix Pittman,Aff,"28.9																																																														1","28.0																																																														2"
Memorial BD,Westlake MR,Angela Zhong,Aff,"29.4																																																														1","29.2																																																														2"
Southlake Carroll AR,Centennial NM,Joshua Smith,Aff,"29.5																																																														1","28.0																																																														2"
Westwood BJ,L C Anderson AS,Evan Engel,Aff,"28.6																																																														1","28.0																																																														2"
Greenhill SK,Cypress Woods OS,Daniel Ciocca,Aff,"28.4																																																														1","28.3																																																														2"
Strake Jesuit  KM,American Heritage Broward SS,Vik Maan,Neg,"29.4																																																														2","29.5																																																														1"
Marcus MO,Little Rock Central KC,Rodrigo Paramo,Neg,"28.5																																																														2","28.7																																																														1"
L C Anderson NW,Strake Jesuit  MS,dylan jones,Neg,"28.6																																																														2","28.7																																																														1"
Plano East AW,Byron Nelson SS,Jayanne Forrest,Aff,"29.5																																																														1","28.0																																																														2"
Jordan VS,Plano East PG,Dominic Henderson,Neg,"28.0																																																														2","28.1																																																														1"
Southlake Carroll SD,Memorial MG,Brett Cryan,Aff,"29.6																																																														1","28.8																																																														2"
Challenge Early KU,Flower Mound AM,Jayanne Forrest,Neg,"28.6																																																														2","28.7																																																														1"
Lake Highland Prep PS,Greenhill SL,Daniel Lee,Aff,"29.5																																																														1","28.8																																																														2"
Dripping Springs AS,Westlake GW,Amanda Ciocca,Neg,"28.0																																																														2","28.5																																																														1"
Westlake BR,Cypress Woods SL,Michael Kurian,Aff,"28.9																																																														1","28.0																																																														2"
Coppell AS,Lynbrook SY,Amanda Ciocca,Neg,"29.7																																																														2","29.9																																																														1"
Strake Jesuit  RC,Newman Smith SJ,Daniel Ciocca,Neg,"28.9																																																														2","29.0																																																														1"
Northland Christian AH,William P. Clements KK,Abbey Chapman,Neg,"28.6																																																														2","28.9																																																														1"
Southlake Carroll TA,Westwood AP,Evan Engel,Neg,"28.0																																																														2","28.1																																																														1"
Coppell HA,Seven Lakes VS,Armaan Christ,Aff,"29.7																																																														1","28.4																																																														2"
Southlake Carroll ASh,Greenhill AK,Joseph Kieklak,Neg,"28.4																																																														2","29.4																																																														1"
Plano East HN,Coppell EH,Becca Traber,Aff,"28.4																																																														1","28.3																																																														2"
Lake Highland Prep VS,Academy Of Classical Christian Studies JM,Sebastian Cho,Neg,"27.5																																																														2","28.2																																																														1"
