Pro,Con,Judge,Win,"Pro								Points & Ranks","Con								Points & Ranks"
Strake Jesuit  CW,Winston Churchill MS,Anthony Brown,Pro,"EWan																																																												29.0																																																														2																																																																																								CCastillo																																																												29.0																																																														1","SSmall																																																												27.0																																																														3																																																																																								DMuller																																																												27.0																																																														4"
Strake Jesuit  SZ,Bellaire MT,Pranav Kasibhatla,Pro,"MStratton																																																												29.5																																																														2																																																																																								EZhao																																																												30.0																																																														1","PMcNulty																																																												29.0																																																														4																																																																																								ETeo																																																												29.4																																																														3"
Lake Travis RK,Hendrickson LF,Robert Holmes,Pro,"ARaich																																																												28.5																																																														1																																																																																								KKaranth																																																												28.4																																																														2","GFrias																																																												28.3																																																														3																																																																																								PLin																																																												28.1																																																														4"
Plano West LK,Strake Jesuit  HM,Sachin Wadhwa,Pro,"AKapoor																																																												29.0																																																														1																																																																																								ALohtia																																																												29.0																																																														2","RMerchant																																																												28.0																																																														4																																																																																								CHaire																																																												29.0																																																														3"
Jordan HG,Jasper RB,John Klassen,Con,"IHemrajani																																																												29.0																																																														4																																																																																								MGannavarapu																																																												29.0																																																														3","ABhakkad																																																												29.0																																																														2																																																																																								ARai																																																												29.5																																																														1"
Seven Lakes WZ,Village JR,Anthony Brown,Con,"KWu																																																												29.0																																																														1																																																																																								FZhou																																																												28.8																																																														2","MRovere																																																												28.6																																																														3																																																																																								UJinnah																																																												28.5																																																														4"
Strake Jesuit  NT,Garland RM,Robert Holmes,Pro,"RTrivedi																																																												27.7																																																														2																																																																																								INgo																																																												27.8																																																														1","TRodgers																																																												27.5																																																														4																																																																																								DMoreno																																																												27.6																																																														3"
Bentonville CS,Seven Lakes TK,Ryan Love,Con,"EClark																																																												28.0																																																														3																																																																																								RSkaggs																																																												28.0																																																														4","AThatola																																																												28.6																																																														1																																																																																								AKaushik																																																												28.5																																																														2"
Bellaire QX,St Mary's Hall CA,Jack Hasper,Pro,"JXia																																																												29.0																																																														1																																																																																								AQiu																																																												28.0																																																														4","AAshwath																																																												28.5																																																														3																																																																																								ACho																																																												28.5																																																														2"
McLean KW,Flower Mound KK,Atul Kapoor,Con,"TWilson																																																												29.0																																																														3																																																																																								RKang																																																												28.9																																																														4","AKashyap																																																												29.3																																																														2																																																																																								HKim																																																												29.5																																																														1"
Westwood NS,Gulliver Prep SI,Pranav Kasibhatla,Pro,"ASharma																																																												30.0																																																														1																																																																																								ANagulapally																																																												29.0																																																														3","TSantoyo Geijo																																																												29.0																																																														4																																																																																								NIshoof																																																												29.5																																																														2"
Westlake WW,Dulles LH,Nate Odenkirk,Con,"NWong																																																												28.0																																																														3																																																																																								MWadhwa																																																												28.0																																																														4","RLi																																																												28.5																																																														2																																																																																								SHuang																																																												28.5																																																														1"
Bellaire CZ,Garland AA,Atul Kapoor,Pro,"LCheng																																																												27.8																																																														2																																																																																								RZhao																																																												28.0																																																														1","JAshcraft																																																												27.7																																																														3																																																																																								MAguilar																																																												27.0																																																														4"
George Washington HD,Plano West CK,Manhua Kim,Con,"MDuffy																																																												30.0																																																														1																																																																																								DHolguin																																																												28.0																																																														4","EChachad																																																												29.0																																																														2																																																																																								PKumar																																																												29.0																																																														3"
Christopher Columbus AC,Bellaire CL,John Klassen,Con,"JAlonso																																																												30.0																																																														3																																																																																								IChazarreta																																																												29.0																																																														4","MChen																																																												30.0																																																														2																																																																																								FLiu																																																												30.0																																																														1"
Awty International ZZ,Southlake Carroll DT,Jack Hasper,Pro,"BZhao																																																												30.0																																																														1																																																																																								AZhang																																																												29.5																																																														3","SDharani																																																												29.0																																																														4																																																																																								JTamirisa																																																												29.5																																																														2"
Lake Travis HD,Seven Lakes OK,Maryrose Kohan,Con,"FHobbs																																																												27.5																																																														4																																																																																								LDavid																																																												28.0																																																														3","COtieno																																																												28.5																																																														1																																																																																								MKapoor																																																												28.4																																																														2"
Strake Jesuit  HW,Seven Lakes CM,D'Layne Kelly,Con,"WWu																																																												28.5																																																														3																																																																																								PHablinski																																																												29.0																																																														1","LCarvajal Picott																																																												28.6																																																														2																																																																																								AMendoza Casas																																																												28.4																																																														4"
Southlake Carroll GM,Dulles RS,Mariana Rai,Con,"ZMakhdumi																																																												27.0																																																														4																																																																																								TGajula																																																												27.3																																																														3","ARamaraju																																																												28.3																																																														1																																																																																								MSivanandam																																																												28.2																																																														2"
Lake Travis FB,Strake Jesuit  BS,Manhua Kim,Con,"SBaryalai																																																												28.0																																																														3																																																																																								ZFarmand																																																												28.0																																																														4","RSharma																																																												29.0																																																														1																																																																																								ABorja																																																												28.0																																																														2"
Seven Lakes LX,Kinkaid TC,Bryan Benitez,Con,"GXie																																																												28.0																																																														4																																																																																								KLiu																																																												28.0																																																														3","RTang																																																												29.5																																																														2																																																																																								ACai																																																												29.5																																																														1"
Westwood KX,Strake Jesuit  HK,Vivek Yarlagedda,Con,"RKurian																																																												28.7																																																														4																																																																																								IXu																																																												28.8																																																														3","KHarpavat																																																												29.0																																																														1																																																																																								TKirichenko																																																												28.9																																																														2"
Lake Travis SJ,Gulliver Prep LT,Nate Odenkirk,Pro,"SJoglekar																																																												26.5																																																														4																																																																																								DShah																																																												27.0																																																														2","STaylor																																																												27.0																																																														1																																																																																								ALevy Armesto																																																												26.5																																																														3"
Flower Mound MI,Westwood RB,Satvik Mahendra,Con,"PMunipalle																																																												29.2																																																														3																																																																																								AIyer																																																												29.3																																																														1","NReddy																																																												29.1																																																														4																																																																																								MBontu																																																												29.2																																																														2"
Seven Lakes JC,Jasper ZZ,Ryan Love,Con,"BJackson																																																												29.7																																																														2																																																																																								AChen																																																												29.5																																																														4","EZhao																																																												29.6																																																														3																																																																																								JZhang																																																												29.8																																																														1"
St John's KA,Strake Jesuit  KW,Tyler Crivella,Con,"DArnold																																																												25.9																																																														4																																																																																								GKonduri																																																												26.1																																																														2","AWang																																																												26.2																																																														1																																																																																								OKaram																																																												26.0																																																														3"
Emerson VE,Cabot RC,Hui Tang,Con,"SVankayala																																																												28.0																																																														3																																																																																								BElegbede																																																												27.8																																																														4","SCox																																																												28.1																																																														2																																																																																								VRodriguez																																																												28.3																																																														1"
Southlake Carroll CS,St John's GZ,D'Layne Kelly,Con,"NSubhash																																																												27.5																																																														3																																																																																								PChanana																																																												27.0																																																														4","WGreenberg																																																												28.5																																																														2																																																																																								BZhao																																																												29.0																																																														1"
Plano West BY,Winston Churchill IM,Maryrose Kohan,Pro,"AYi																																																												29.7																																																														2																																																																																								YBai																																																												29.8																																																														1","CIngram																																																												29.5																																																														4																																																																																								BMacKay																																																												29.6																																																														3"
Dripping Springs HS,Westlake GR,Thomas Parker,Con,"JHall																																																												29.2																																																														3																																																																																								MSheppard																																																												29.0																																																														4","RRana																																																												29.3																																																														2																																																																																								SGarimella																																																												29.4																																																														1"
