Pro,Con,Judge,Win,"Pro								Points & Ranks","Con								Points & Ranks"
Seven Lakes LV,Strake Jesuit  WL,Ryan Love,Con,"D Veith																																																												29.0																																																														2																																																																																								J Lutterman																																																												28.8																																																														4","E Wan																																																												28.9																																																														3																																																																																								R Li																																																												29.1																																																														1"
Jonesboro HR,Cabot RR,Chris Gong,Con,"I Hirsch																																																												29.0																																																														2																																																																																								R Ranalli																																																												27.0																																																														4","V Rodriguez																																																												29.0																																																														1																																																																																								H Robbins																																																												28.0																																																														3"
Norman North LC,Centennial RP,Chris Gong,Pro,"J Little																																																												30.0																																																														1																																																																																								R Chuong																																																												28.0																																																														4","R Ramprasad																																																												28.0																																																														3																																																																																								R Pius																																																												29.5																																																														2"
L C Anderson SB,Dripping Springs GB,Neo Curry,Pro,"R Spindler																																																												29.0																																																														2																																																																																								P Benko																																																												29.0																																																														1","E Goodman																																																												28.5																																																														4																																																																																								D Bermudez																																																												28.5																																																														3"
Lake Highland Prep AY,Lovejoy PP,Lisa Haddock,Con,"F Yong																																																												28.5																																																														3																																																																																								E Ahmad																																																												28.0																																																														4","K Pandey																																																												29.5																																																														1																																																																																								D Pai																																																												29.0																																																														2"
Plano West CM,Seven Lakes VK,Caden Day,Pro,"E Chachad																																																												28.2																																																														2																																																																																								M Mathai																																																												28.3																																																														1","A Varre																																																												28.0																																																														3																																																																																								K Kazmi																																																												28.0																																																														4"
Jasper AB,Southlake Carroll GW,Andy Stubbs,Con,"A Appan																																																												29.9																																																														2																																																																																								Y Bai																																																												29.7																																																														4","N Wang																																																												29.8																																																														3																																																																																								S Gogia																																																												30.0																																																														1"
Seven Lakes MM,Strake Jesuit  HK,Arham Kundi,Con,"S Migliavacca																																																												28.0																																																														4																																																																																								R Meghani																																																												28.5																																																														2","N Hadi																																																												29.0																																																														1																																																																																								T Kirichenko																																																												28.0																																																														3"
Centennial PV,Southlake Carroll DG,Amogh Mahambare,Con,"S Vinjamaram																																																												29.0																																																														2																																																																																								B Palivela																																																												28.8																																																														4","T Golla																																																												29.5																																																														1																																																																																								L D'Amico																																																												28.9																																																														3"
Dulles MB,Strake Jesuit  GM,Lisa Haddock,Pro,"J Ma																																																												29.5																																																														1																																																																																								T Bian																																																												29.0																																																														2","C Gidley																																																												28.5																																																														3																																																																																								W McDowell																																																												28.0																																																														4"
Westlake KP,Seven Lakes KT,Anbu Subramanian,Pro,"A Kondagunturi																																																												29.8																																																														2																																																																																								R Pillay																																																												29.8																																																														1","A Thatola																																																												29.0																																																														4																																																																																								A Kaushik																																																												29.0																																																														3"
Southlake Carroll SN,Dripping Springs HK,Amy Little,Pro,"R Sanghavi																																																												29.0																																																														3																																																																																								A Nagunoori																																																												30.0																																																														2","E Kling																																																												30.0																																																														1																																																																																								J Hall																																																												28.0																																																														4"
Colleyville Heritage PS,Seven Lakes CL,Jerry Crist,Con,"K Panagiotopoulos																																																												28.8																																																														3																																																																																								E Slivinsky																																																												28.7																																																														4","L Carvajal Picott																																																												29.0																																																														2																																																																																								K Le																																																												29.5																																																														1"
Westlake WK,Kinkaid LT,Pranav Kasibhatla,Pro,"M Wadhwa																																																												30.0																																																														2																																																																																								N Kasturi																																																												30.0																																																														1","J Lara																																																												28.0																																																														4																																																																																								R Tang																																																												28.0																																																														3"
Seven Lakes EM,Gulliver Prep BS,Caden Day,Con,"R Malone																																																												28.0																																																														3																																																																																								T Eswar																																																												28.0																																																														4","T Santoyo Geijo																																																												28.4																																																														2																																																																																								N Brown																																																												28.6																																																														1"
Plano West TC,Julian Carlile,Gabrielle Smith,Con,"A Tomar																																																												27.0																																																														4																																																																																								D Cui																																																												28.0																																																														2","P Hablinski																																																												29.0																																																														1																																																																																								J Carlile																																																												28.0																																																														3"
Flower Mound KK,St Agnes VA,Arham Kundi,Pro,"A Kashyap																																																												29.0																																																														1																																																																																								H Kim																																																												28.5																																																														2","A Aneke																																																												27.5																																																														4																																																																																								B Varghese																																																												28.5																																																														3"
L C Anderson FD,Westwood SI,Surendra Viswam,Con,"P Foreman																																																												27.0																																																														4																																																																																								I Dietz																																																												27.8																																																														3","Z Stenglein																																																												28.0																																																														2																																																																																								L Iley																																																												29.2																																																														1"
Westlake CR,Centennial CR,Gabrielle Smith,Pro,"A Chu																																																												29.0																																																														1																																																																																								A Rajanna																																																												28.0																																																														3","A Chen																																																												28.0																																																														2																																																																																								D Roongta																																																												28.0																																																														4"
Alexander Zhang,Centennial AJ,Ryan Dickerson,Con,"B Zhao																																																												27.0																																																														4																																																																																								A Zhang																																																												29.5																																																														1","R Altaf																																																												29.0																																																														2																																																																																								R Jamisetty																																																												27.5																																																														3"
L C Anderson PW,Southlake Carroll KA,Jeffrey Song,Con,"A Webster																																																												30.0																																																														4																																																																																								O Padden																																																												30.0																																																														1","D Kilaru																																																												30.0																																																														3																																																																																								V Athipatla																																																												30.0																																																														2"
Strake Jesuit  MT,St Agnes CF,Surendra Viswam,Pro,"R Merchant																																																												29.0																																																														1																																																																																								R Trivedi																																																												27.5																																																														2","L Chemaly																																																												26.5																																																														3																																																																																								E Feng																																																												25.0																																																														4"
L C Anderson SM,Dulles LH,Amy Little,Pro,"N Sharma																																																												29.0																																																														2																																																																																								S Martin																																																												30.0																																																														1","R Li																																																												28.0																																																														4																																																																																								S Huang																																																												28.0																																																														3"
A and M Consolidated VW,Jasper YQ,Alejandra Varghese,Con,"A Veerani																																																												26.0																																																														4																																																																																								A Wolf																																																												30.0																																																														1","A Yi																																																												28.0																																																														3																																																																																								J Qiu																																																												29.0																																																														2"
James Bowie BB,Strake Jesuit  DT,Bruce Evans,Pro,"G Barden																																																												27.0																																																														3																																																																																								O Baird																																																												27.8																																																														1","O Tsao																																																												26.6																																																														4																																																																																								F Doumani																																																												27.4																																																														2"
Jonesboro HM,Westwood BK,Alejandra Varghese,Con,"W Hacker																																																												29.0																																																														1																																																																																								S May																																																												27.0																																																														4","A Kutianawala																																																												28.0																																																														3																																																																																								R Boddeti																																																												28.0																																																														2"
Kinkaid YZ,Gulliver Prep IF,Pranav Kasibhatla,Pro,"W Zhang																																																												30.0																																																														2																																																																																								C Yang																																																												30.0																																																														1","E Foodman																																																												30.0																																																														4																																																																																								N Ishoof																																																												30.0																																																														3"
Strake Jesuit  CW,Dripping Springs BD,Andy Stubbs,Pro,"C Castillo																																																												29.2																																																														1																																																																																								W Wu																																																												29.1																																																														2","T Baker																																																												28.4																																																														3																																																																																								Q Dracon																																																												28.3																																																														4"
St John's CJ,Seven Lakes KS,Araceli Casasola,Pro,"L Chen																																																												29.0																																																														1																																																																																								J Juang																																																												28.7																																																														2","S Kasibhatla																																																												28.5																																																														3																																																																																								A Sud																																																												28.5																																																														4"
