Pro,Con,Judges,Votes,Win
Gulliver Prep II,Germantown Friends LZ,"Don Ciaravino																																						Robert Missell																																						Lindsay Donovan","Con																															Con																															Pro","2-1																															CON"
Delbarton XP,Ivy Bridge BR,"Ram Miller																																						Ajith Vasudevan																																						Maria Xu","Con																															Con																															Con","3-0																															CON"
Olympic Heights BK,Chapin MS,"Neha gupta																																						Uma Venkat																																						Hana Boulware","Con																															Con																															Con","3-0																															CON"
Hunter VB,Alliance RY,"David Cho																																						Hui Tang																																						Ryan Carragher","Con																															Con																															Con","3-0																															CON"
Bronx Science WZ,Natick DY,"Josh Wachman																																						Julie Gollob																																						Faith Rounds","Pro																															Con																															Con","2-1																															CON"
VDA - Vancouver ZZ,Regis GG,"Matthew Sebastian																																						Austin Zhao																																						Oscar Mercado","Con																															Con																															Pro","2-1																															CON"
Stuyvesant RM,Bronx Science BG,"Josh Wachman																																						Julie Gollob																																						Faith Rounds","Con																															Con																															Pro","2-1																															CON"
Lake Highland Prep RK,Regis CC,"Benjamin Redler																																						Marcus Berkshire																																						Lea Saba","Pro																															Con																															Con","2-1																															CON"
Delbarton RW,Sharon KS,"Neha gupta																																						Uma Venkat																																						Hana Boulware","Con																															Con																															Con","3-0																															CON"
Horace Mann HZ,Strake Jesuit  WH,"Ryan Love																																						Tim Christensen																																						Susan Zana","Pro																															Pro																															Con","2-1																															PRO"
Plano West CM,Millburn CW,"David Cho																																						Hui Tang																																						Ryan Carragher","Con																															Pro																															Con","2-1																															CON"
DebateDrills JC,Westfield DM,"Ke Cheng																																						Jonah Sah																																						Jianmin Gao","Con																															Con																															Pro","2-1																															CON"
Delbarton EC,VDA - Vancouver LL,"Justin Zhang																																						Lynn Kong																																						Mike Siller","Pro																															Pro																															Pro","3-0																															PRO"
Richard Montgomery LW,Stuyvesant TL,"Donny Peters																																						David Levin																																						David Huston","Pro																															Pro																															Pro","3-0																															PRO"
JR Masterman CA,Seven Lakes ML,"Benjamin Redler																																						Marcus Berkshire																																						Lea Saba","Pro																															Con																															Pro","2-1																															PRO"
Sidwell CS,Concord Carlisle MA,"Sophia Rubinstein																																						Owen Carragher																																						Sophia Wang","Pro																															Con																															Pro","2-1																															PRO"
Ransom Everglades SM,CR North TZ,"Donny Peters																																						David Levin																																						David Huston","Con																															Con																															Pro","2-1																															CON"
Hunter WK,North Broward Prep SA,"Mary Beth Armstrong																																						Tommy Billings																																						Teresa Uthurralt","Con																															Con																															Con","3-0																															CON"
Strake Jesuit  GZ,Milton Acad BP,"YING ZHANG																																						Alexander O'Donnell																																						Martha Becker","Pro																															Con																															Con","2-1																															CON"
Bergen County Academies LS,DuPont Manual Independent KF,"Sophia Rubinstein																																						Owen Carragher																																						Sophia Wang","Con																															Con																															Pro","2-1																															CON"
Sidwell JH,Horace Mann JS,"Sharvaa Selvan																																						Jim Poyner																																						Mac Healey","Con																															Con																															Con","3-0																															CON"
Summit AB,Scarsdale HE,"Alexander Lin																																						saurabh shukla																																						Kyle Watkins","Pro																															Pro																															Pro","3-0																															PRO"
Bergen AR,Ridge SS,"Justin Zhang																																						Lynn Kong																																						Mike Siller","Con																															Pro																															Pro","2-1																															PRO"
Milton Acad WX,Lake Highland Prep YG,"Sam Jones																																						Justin Black																																						Caleb Chung","Pro																															Pro																															Pro","3-0																															PRO"
Pinecrest SH,Newton South MD,"YING ZHANG																																						Alexander O'Donnell																																						Martha Becker","Pro																															Con																															Con","2-1																															CON"
Cambridge Rindge and Latin RW,Millburn LW,"Vivek Sharma																																						Jianguo Wang																																						Michael Anglemire","Pro																															Pro																															Con","2-1																															PRO"
Thomas S. Wootton TT,St Luke's MW,"Ke Cheng																																						Jonah Sah																																						Jianmin Gao","Pro																															Pro																															Pro","3-0																															PRO"
Potomac PL,Regis PS,"Vivek Sharma																																						Jianguo Wang																																						Michael Anglemire","Pro																															Pro																															Pro","3-0																															PRO"
Lincoln-Sudbury YS,Lexington CK,"Manu Anand																																						Nora Bruey																																						Bilal Butt","Pro																															Pro																															Pro","3-0																															PRO"
Stuyvesant MH,Lake Highland Prep SM,"Alexander Lin																																						saurabh shukla																																						Kyle Watkins","Con																															Pro																															Pro","2-1																															PRO"
Newton South MK,Hamilton NS,"Bryce Piotrowski																																						Zhanliang Qin																																						Thomas Barone","Con																															Con																															Con","3-0																															CON"
Milton Acad MC,Horace Mann SJ,"Bryce Piotrowski																																						Zhanliang Qin																																						Thomas Barone","Con																															Pro																															Con","2-1																															CON"
Arlington LC,East Ridge MV,"Sam Jones																																						Justin Black																																						Caleb Chung","Con																															Con																															Con","3-0																															CON"
Trinity LB,St Luke's GG,"Don Ciaravino																																						Robert Missell																																						Lindsay Donovan","Con																															Con																															Con","3-0																															CON"
Scarsdale LL,Jasper AV,,"Pro BYE																									Con FFT","Pro BYE																									Con FFT"
Newton South LT,Newton South CL,,Newton South LT advances,Newton South LT advances
Princeton MB,,,,
Plano West KL,,,,
Bergen County Academies CM,,,,
Newton South KH,,,,
