Aff,Neg,Judge,Win,"Aff								Points & Ranks","Neg								Points & Ranks"
Notre Dame San Jose AG,Scripps Ranch AS,Jared Burke,Neg,"29.3																																																														2","29.4																																																														1"
Brophy CC,Loyola CM,Jacob Lugo,Aff,"28.9																																																														1","28.5																																																														2"
Brophy TJ,Southlake Carroll SD,Jane Lichtman,Neg,"29.3																																																														2","29.4																																																														1"
Holy Trinity Episcopal RP,Princeton AS,Nelson Okunlola,Neg,"28.6																																																														2","28.7																																																														1"
Millard North SB,Princeton SS,parth misra,Aff,"27.5																																																														1","27.4																																																														2"
Lynbrook MD,Westwood DL,Brandon Molina,Neg,"28.0																																																														2","28.8																																																														1"
Mountain House ES,Pine View EL,Eric He,Aff,"28.7																																																														1","28.6																																																														2"
Marlborough SL,Byron Nelson PM,Dominic Henderson,Aff,"28.6																																																														1","28.4																																																														2"
Harker PG,King CP,Alfonso Arreola,Aff,"28.9																																																														1","28.7																																																														2"
Lexington AM,Jordan FJ,Ian Matuszeski,Aff,"28.9																																																														1","28.8																																																														2"
Eagan AE,Barrington AC,Scott Brown,Aff,"29.1																																																														1","29.0																																																														2"
Jordan VS,McNeil MJ,Eric Schwerdtfeger,Aff,"28.8																																																														1","28.4																																																														2"
Byron Nelson BW,Harvard-Westlake EB,Jai Sehgal,Neg,"27.5																																																														2","27.8																																																														1"
Winston Churchill PH,Heights CT,Ishan Rereddy,Aff,"28.3																																																														1","28.2																																																														2"
Marlborough WR,Dulles VN,Brett Cryan,Aff,"29.4																																																														1","29.3																																																														2"
Southlake Carroll EP,Harker NA,Clement Agho-Otoghile,Aff,"28.6																																																														1","28.5																																																														2"
Greenhill SL,Westlake MR,David Kilpatrick,Aff,"28.8																																																														1","28.7																																																														2"
Newman Smith SJ,Eastern LW,Elliott Cook,Aff,"28.8																																																														1","28.6																																																														2"
BASIS Independent Silicon Valley JK,Lynbrook OM,parth misra,Aff,"29.1																																																														1","28.9																																																														2"
Apple Valley KW,Lexington RL,Tristan Rios,Aff,"28.8																																																														1","27.7																																																														2"
Clear Lake MB,Ardsley KK,Chris Randall,Neg,"28.0																																																														2","28.3																																																														1"
Millard North AR,Harvard-Westlake IC,Nick Fleming,Neg,"28.5																																																														2","29.0																																																														1"
Langham Creek ML,McNeil KJ,Eric Schwerdtfeger,Aff,"28.7																																																														1","28.5																																																														2"
Strake Jesuit  JK,Lynbrook SY,Yajat Bhargav,Neg,"29.4																																																														2","29.5																																																														1"
Greenhill PS,McNeil YM,David Kilpatrick,Neg,"28.6																																																														2","28.7																																																														1"
James Bowie NW,Harker SS,Chris Randall,Neg,"29.0																																																														2","29.5																																																														1"
Greenhill MA,Harvard-Westlake WL,Cana Blanton,Neg,"28.8																																																														2","29.3																																																														1"
Harker AP,Westwood AP,Alfonso Arreola,Neg,"28.1																																																														2","28.2																																																														1"
Strake Jesuit  JW,Greenhill AK,Eric He,Aff,"29.8																																																														1","29.7																																																														2"
